session_id,split
002002_2005,train
002002_2007,train
002002_2009,train
002002_2010,train
002002_2011,train
002002_2013,train
002002_2014,train
002002_2018,train
002069_2009,train
002069_2010,train
002069_2011,train
002069_2012,train
002069_2014,train
002069_2015,train
002069_2017,train
002069_2018,train
002069_2019,train
002072_2006,train
002072_2008,train
002072_2009,train
002072_2010,train
002072_2012,train
002072_2013,train
002072_2016,train
002072_2017,train
002072_2018,train
002072_2019,train
002072_2020,train
002072_2021,train
002072_2022,train
002072_2023,train
002072_2024,train
002178_2008,train
002178_2009,train
002178_2011,train
002178_2013,train
002178_2015,train
002178_2016,train
002178_2017,train
002178_2018,train
002178_2020,train
002178_2023,train
002424_2011,train
002424_2012,train
002424_2013,train
002424_2015,train
002424_2016,train
002424_2017,train
002424_2020,train
000826_2018,train
000826_2019,train
000826_2020,train
000826_2021,train
000826_2022,train
000826_2023,train
000826_2025,train
002098_2007,train
002098_2008,train
002098_2009,train
002098_2011,train
002098_2012,train
002098_2013,train
002098_2014,train
002098_2015,train
002098_2017,train
002098_2022,train
002098_2023,train
002113_2006,train
002113_2008,train
002113_2010,train
002113_2011,train
002113_2012,train
002113_2014,train
002113_2015,train
002113_2016,train
002142_2008,train
002142_2009,train
002142_2010,train
002142_2011,train
002142_2012,train
002142_2014,train
002142_2016,train
002142_2017,train
002142_2019,train
002142_2022,train
002142_2023,train
002142_2024,train
002411_2014,train
002411_2015,train
002586_2013,train
002586_2015,train
002586_2016,train
002586_2019,train
002699_2012,train
002699_2013,train
002699_2014,train
002699_2016,train
002699_2017,train
002699_2018,train
002699_2019,train
002699_2020,train
002700_2012,train
002700_2014,train
002700_2015,train
002700_2016,train
002700_2017,train
002936_2019,train
002936_2022,train
002936_2023,train
002936_2024,train
002948_2018,train
002948_2022,train
002948_2023,train
300280_2011,train
300280_2012,train
300280_2014,train
300280_2015,train
300280_2017,train
300282_2011,train
300282_2012,train
300282_2013,train
300282_2014,train
300282_2015,train
300282_2017,train
300282_2018,train
300495_2015,train
300495_2017,train
300495_2019,train
600000_2016,train
600000_2018,train
600000_2021,train
600000_2022,train
600000_2023,train
600015_2014,train
600015_2015,train
600015_2016,train
600015_2019,train
600015_2021,train
600015_2022,train
600015_2024,train
600387_2012,train
600387_2013,train
600387_2015,train
600387_2016,train
600387_2017,train
600387_2018,train
600610_2020,train
600610_2022,train
600610_2023,train
600734_2011,train
600734_2023,train
600734_2024,train
601187_2020,train
601187_2021,train
601187_2025,train
601328_2021,train
601328_2023,train
601328_2024,train
601665_2022,train
601665_2023,train
601665_2025,train
601818_2022,train
601818_2023,train
601818_2024,train
601838_2020,train
601838_2021,train
601838_2023,train
601838_2024,train
601963_2024,train
601963_2025,train
601997_2019,train
601997_2020,train
601997_2021,train
601997_2022,train
601997_2023,train
601997_2025,train
002002_2008,validation
002002_2015,validation
002002_2017,validation
002069_2006,validation
002069_2016,validation
002072_2007,validation
002178_2007,validation
002178_2012,validation
002178_2022,validation
002424_2010,validation
002424_2018,validation
002424_2019,validation
002098_2006,validation
002098_2019,validation
002113_2017,validation
002113_2019,validation
002142_2013,validation
002142_2015,validation
002411_2010,validation
002411_2012,validation
002411_2013,validation
002411_2016,validation
002586_2012,validation
002586_2017,validation
002699_2015,validation
002700_2013,validation
002936_2018,validation
002948_2019,validation
002948_2024,validation
002948_2025,validation
300280_2018,validation
300282_2016,validation
600015_2025,validation
600387_2014,validation
600387_2019,validation
601187_2023,validation
601187_2024,validation
601328_2022,validation
601328_2025,validation
601665_2021,validation
601818_2020,validation
601838_2025,validation
601963_2023,validation
601997_2024,validation
002002_2006,test
002002_2012,test
002002_2016,test
002002_2019,test
002069_2007,test
002069_2008,test
002069_2013,test
002072_2011,test
002072_2014,test
002072_2015,test
002178_2010,test
002178_2014,test
002178_2019,test
002178_2021,test
002424_2014,test
000826_2024,test
002098_2010,test
002098_2016,test
002098_2018,test
002113_2007,test
002113_2009,test
002113_2013,test
002113_2018,test
002142_2007,test
002411_2011,test
002411_2017,test
002411_2018,test
002411_2019,test
002586_2011,test
002586_2014,test
002586_2018,test
002699_2021,test
002699_2022,test
002700_2018,test
300280_2013,test
300280_2016,test
300280_2019,test
300495_2016,test
300495_2018,test
600000_2017,test
600000_2020,test
600015_2017,test
600015_2018,test
600015_2020,test
600015_2023,test
600610_2021,test
600610_2024,test
600734_2021,test
600734_2022,test
601187_2022,test
601665_2024,test
601818_2021,test
601838_2022,test
601963_2021,test
601963_2022,test
