Metric,BootstrapMean,CI_Lower,CI_Upper,BootstrapSamples,Model
AUC,0.516114889130293,0.4907143781413772,0.5476255231437734,2000,BM25
AP,0.0667414313403805,0.04702754918039246,0.08885205943384446,2000,BM25
Precision,0.0767222879575828,0.058823529411764705,0.09970876839070797,2000,BM25
Recall,0.09774766844766694,0.03950905951161943,0.17417817333071567,2000,BM25
F1,0.08301988778523739,0.050463904653345305,0.11054109073583789,2000,BM25
AUC,0.5017251097857149,0.4822917560473916,0.523081285693109,2000,Temporal-distance Prior
AP,0.050761337846136984,0.03402954711316086,0.07719476841774524,2000,Temporal-distance Prior
Precision,0.05053700245639874,0.03387150965660881,0.07678539890231936,2000,Temporal-distance Prior
Recall,1.0,1.0,1.0,2000,Temporal-distance Prior
F1,0.09598748868341245,0.06552363468293552,0.1426196800649202,2000,Temporal-distance Prior
AUC,0.6961208925580695,0.6716164233900576,0.7256793655653313,2000,General Chinese Sentence Encoder Retrieval
AP,0.13064753299225412,0.10297189663488555,0.1610253277735171,2000,General Chinese Sentence Encoder Retrieval
Precision,0.1366451939847509,0.09850439432791988,0.19175211922340715,2000,General Chinese Sentence Encoder Retrieval
Recall,0.22302339817753866,0.17294093684127065,0.2896388679041657,2000,General Chinese Sentence Encoder Retrieval
F1,0.1668410047531514,0.13655613289378712,0.19834842975206612,2000,General Chinese Sentence Encoder Retrieval
AUC,0.7510856334705773,0.7122939883332485,0.7873967689365764,2000,General Chinese Retrieval Encoder Retrieval
AP,0.1694428154557766,0.11325680864170509,0.2455197244753383,2000,General Chinese Retrieval Encoder Retrieval
Precision,0.21186472611240714,0.13651610377827855,0.32123319662793337,2000,General Chinese Retrieval Encoder Retrieval
Recall,0.30600306451852394,0.250735011203404,0.35254484435151995,2000,General Chinese Retrieval Encoder Retrieval
F1,0.24785306661400108,0.1808601703622065,0.32551418720773556,2000,General Chinese Retrieval Encoder Retrieval
AUC,0.44062246250870285,0.37837058127298523,0.5065045148178604,2000,Financial-domain Encoder Retrieval
AP,0.04507527461565924,0.03345107040853863,0.060746149961931416,2000,Financial-domain Encoder Retrieval
Precision,0.04921072549870638,0.033351660510654656,0.07372450433101813,2000,Financial-domain Encoder Retrieval
Recall,0.9371279057748493,0.9113285726098924,0.968421052631579,2000,Financial-domain Encoder Retrieval
F1,0.09328219526521075,0.06441860351865657,0.13657486134179236,2000,Financial-domain Encoder Retrieval
AUC,0.7390073598250811,0.6736034243423917,0.8099982459822694,2000,General Chinese Pairwise Transformer + Linear Probe
AP,0.14853024599747788,0.07712297095316858,0.26190332731446236,2000,General Chinese Pairwise Transformer + Linear Probe
Precision,0.1805437291850018,0.08737733224794741,0.3160993420815672,2000,General Chinese Pairwise Transformer + Linear Probe
Recall,0.30979826837724794,0.18268340455840454,0.4575765132622988,2000,General Chinese Pairwise Transformer + Linear Probe
F1,0.22716882728495044,0.11968741719146474,0.370776467307503,2000,General Chinese Pairwise Transformer + Linear Probe
AUC,0.7966454870631225,0.745006016502453,0.8530312174118817,2000,Financial-domain Pairwise Transformer + Linear Probe
AP,0.2595129103999171,0.13998982924437114,0.43674508199267487,2000,Financial-domain Pairwise Transformer + Linear Probe
Precision,0.2845863119638755,0.15778891085549965,0.47137663335232055,2000,Financial-domain Pairwise Transformer + Linear Probe
Recall,0.3550537103512524,0.2357518985189663,0.4835131994261119,2000,Financial-domain Pairwise Transformer + Linear Probe
F1,0.3142721857971529,0.19371032785745415,0.4718851971682982,2000,Financial-domain Pairwise Transformer + Linear Probe
AUC,0.6935725409239519,0.6596009076171839,0.7200070596023683,2000,GraphSAGE
AP,0.11898865510259946,0.07656242816673177,0.17209279426169047,2000,GraphSAGE
Precision,0.15815913940477055,0.09540215379437994,0.2429881350147679,2000,GraphSAGE
Recall,0.1830272761436384,0.11650485436893204,0.2319904761904762,2000,GraphSAGE
F1,0.1679117865495765,0.10863990221826882,0.22659885824236106,2000,GraphSAGE
AUC,0.7885668769564596,0.728576551562426,0.8498533762114809,2000,Score Fusion
AP,0.2243368538472853,0.12490700769503177,0.37181191783201467,2000,Score Fusion
Precision,0.2333952083333632,0.13175316041848298,0.38403784768902266,2000,Score Fusion
Recall,0.37294736588563066,0.2473951480263158,0.5154118999370412,2000,Score Fusion
F1,0.286000637605223,0.17501959692225177,0.4377175231808895,2000,Score Fusion
AUC,0.7390073598250811,0.6736034243423917,0.8099982459822694,2000,Pairwise Transformer + top-K pruning
AP,0.14853024599747788,0.07712297095316858,0.26190332731446236,2000,Pairwise Transformer + top-K pruning
Precision,0.16497806744133572,0.0958021005062303,0.27679662698412694,2000,Pairwise Transformer + top-K pruning
Recall,0.39927137963313103,0.2940899746995573,0.512418402143466,2000,Pairwise Transformer + top-K pruning
F1,0.2320763734201488,0.14690078134163984,0.35839615557541565,2000,Pairwise Transformer + top-K pruning
AUC,0.957244831270933,0.9339959803042104,0.973858469177819,2000,Final FCN
AP,0.7645945938542634,0.6375509513893698,0.8730042659503301,2000,Final FCN
Precision,0.7308194184562956,0.6021325737162214,0.845083888600726,2000,Final FCN
Recall,0.7050760899245313,0.5777262180974478,0.8255215487637363,2000,Final FCN
F1,0.7171717987178587,0.5983825301864878,0.8315585068282038,2000,Final FCN
