Baseline,F1_Difference_FCN_minus_Baseline_Mean,CI_Lower,CI_Upper,P_Diff_LE_0,BootstrapSamples
BM25,0.6341519109326214,0.49511971034656316,0.7751093572571492,0.0,2000
Temporal-distance Prior,0.6211843100344463,0.5243272647425749,0.7003990707155502,0.0,2000
General Chinese Sentence Encoder Retrieval,0.5503307939647074,0.440865829142314,0.6514918223454529,0.0,2000
General Chinese Retrieval Encoder Retrieval,0.4693187321038577,0.3883742062567576,0.533364911503052,0.0,2000
Financial-domain Encoder Retrieval,0.6238896034526481,0.5260544093346323,0.704654589951318,0.0,2000
General Chinese Pairwise Transformer + Linear Probe,0.49000297143290833,0.43168126184124345,0.5570265946742365,0.0,2000
Financial-domain Pairwise Transformer + Linear Probe,0.4028996129207059,0.3400621416707062,0.47808776818831944,0.0,2000
GraphSAGE,0.5492600121682821,0.44914313148862667,0.6279877157923546,0.0,2000
Score Fusion,0.43117116111263576,0.37165651575396935,0.5036741856256757,0.0,2000
Pairwise Transformer + top-K pruning,0.48509542529771,0.42896851752278925,0.5421730990307403,0.0,2000
