Model,SelectionSplit,SelectionCriterion,Threshold,TopK
BM25,Validation,max F1,2.3216353644409757,
Temporal-distance Prior,Validation,max F1,0.2,
General Chinese Sentence Encoder Retrieval,Validation,max F1,0.7643373012542725,
General Chinese Retrieval Encoder Retrieval,Validation,max F1,0.9603590369224548,
Financial-domain Encoder Retrieval,Validation,max F1,-0.0015389295294880867,
General Chinese Pairwise Transformer + Linear Probe,Validation,max F1,0.7518559098243713,
Financial-domain Pairwise Transformer + Linear Probe,Validation,max F1,0.8340836763381958,
GraphSAGE,Validation,max F1,0.5007959008216858,
Score Fusion,Validation,max F1,0.7926375545969004,
Pairwise Transformer + top-K pruning,Validation,max F1,0.6091545820236206,2.0
Final FCN,Validation inside FCN Stage 2,frozen,,
